protein_id,protein_name,verified_activity,organism_id,organism_name,phylum,substrates, EMBL-GenBank-DDBJ_CDS,EMBL-GenBank-DDBJ_CDS,MGnify,PDB,RefSeq_Protein,UniParc,UniProtKB,UniRef100,UniRef50,UniRef90,literature_dois,sequence_length
405,DP092,1,316,Microbispora catharanthi,Actinomycetota,PET,,KAB8173340;KAB8173340.1,,,WP_139580723.1,UPI00111B15AC,A0A5N6AZJ9,UniRef100_A0A5N6AZJ9,UniRef50_A0A941ALA2,UniRef90_A0A5N6AZJ9,https://doi.org/10.1021/acscatal.5c03460,417
406,ESM006,1,317,Saccharothrix sp. S26,Actinomycetota,PET,,,,,WP_267938240.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,405
407,ESM010,1,318,Microbispora sp. (multispecies),Actinomycetota,PET,,,,,WP_167521412.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,423
408,ESM012,1,319,Solwaraspora sp. WMMA2059,Actinomycetota,PET,,WBC00352.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,401
409,ESM021,1,320,Microbispora oryzae,Actinomycetota,PET,,MBP2706078;MBP2706078.1,,,WP_210157342.1,UPI001AEC23E7,A0A941ALA2,UniRef100_A0A941ALA2,UniRef50_A0A941ALA2,UniRef90_A0A941ALA2,https://doi.org/10.1021/acscatal.5c03460,398
410,ESM024,1,248,Microbispora triticiradicis,Actinomycetota,PET,,MBO4274871.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,432
411,ESM026,1,321,Microbispora sp. ATCC PTA-5024,Actinomycetota,PET,,,,,WP_232326807.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,416
412,ESM033,1,322,Phytohabitans rumicis,Actinomycetota,PET,,GFJ87714.1;GFJ87714,,,,UPI00141446F8,A0A6V8KV47,UniRef100_A0A6V8KV47,UniRef50_A0A1N6XE42;UniRef50_A0A5N6B8J9,UniRef90_A0A6V8KV47,https://doi.org/10.1021/acscatal.5c03460,380
413,ESM035,1,323,Saccharothrix deserti,Actinomycetota,PET,,,,,WP_158852571.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,382
414,ESM038,1,324,Microbispora sp. H10830,Actinomycetota,PET,,,,,WP_182904095.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,417
415,ESM043,1,325,Streptomyces sp. NRRL F-5123,Actinomycetota,PET,,,,,WP_031525917.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,402
416,ESM045,1,188,Rhizobacter sp.,Pseudomonadota,PET,,MBX3621832.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,256
417,ESM050,1,308,Acidimicrobiales bacterium,Actinomycetota,PET,,GIU85367.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,244
418,ESM052,1,326,Paractinoplanes deccanensis,Actinomycetota,PET,,,,,WP_203777396.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,417
419,ESM058,1,327,Phytohabitans houttuyneae,Actinomycetota,PET,,GFJ81874;GFJ81874.1,,,WP_173061649.1,UPI001414991C,A0A6V8KDL4,UniRef100_A0A6V8KDL4,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A6V8KDL4,https://doi.org/10.1021/acscatal.5c03460,412
420,ESM059,1,328,Micromonospora craterilacus,Actinomycetota,PET,,,,,WP_111214096.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,409
421,ESM060,1,329,Paractinoplanes rishiriensis,Actinomycetota,PET,,,,,WP_203790592.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,381
422,ESM061,1,330,Plantactinospora alkalitolerans,Actinomycetota,PET,,MBF9135495.1;MBF9135495,,,,UPI0018ACF686,A0ABS0HAQ4,UniRef100_A0ABS0HAQ4,UniRef50_A0AAE8VVC6;UniRef50_A0ABS0HAQ4,UniRef90_A0ABS0HAQ4,https://doi.org/10.1021/acscatal.5c03460,293
423,ESM062,1,331,Micromonospora taraxaci,Actinomycetota,PET,,TWG17167.1;TWG17167,,,,UPI00119C4979,A0A561VZY8,UniRef100_A0A561VZY8,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A1C4Y8Y7,https://doi.org/10.1021/acscatal.5c03460,412
424,ESM064,1,332,Phytohabitans aurantiacus,Actinomycetota,PET,,GLI01021.1;GLI01021,,,WP_281901711.1,UPI0022EE72CC,A0ABQ5R2R9,UniRef100_A0ABQ5R2R9,UniRef50_A0A919N2S9;UniRef50_A0ABQ5R2R9,UniRef90_A0ABQ5R2R9,https://doi.org/10.1021/acscatal.5c03460,374
425,ESM065,1,333,Micromonospora qiuiae,Actinomycetota,PET,,,,,WP_204038550.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,270
426,ESM069,1,235,Micromonospora saelicesensis,Actinomycetota,PET,,,,,WP_181548579.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,408
427,ESM070,1,334,Micromonospora sp. AKA109,Actinomycetota,PET,,GHJ08786.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,400
428,ESM080,1,335,Micromonospora rifamycinica,Actinomycetota,PET,,SCG74774,,,WP_084261341.1,UPI00081F7C57,A0A1C5JVZ6,UniRef100_A0A1C5JVZ6,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A1C5JVZ6,https://doi.org/10.1021/acscatal.5c03460,419
429,ESM081,1,336,Micromonospora sp. CPCC 205371,Actinomycetota,PET,,,,,WP_265247586.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,375
430,ESM082,1,337,Dactylosporangium vinaceum,Actinomycetota,PET,,UAC02078.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,251
431,ESM084,1,338,Actinoallomurus spadix,Actinomycetota,PET,,,,,WP_252811421.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,375
432,ESM090,1,339,Dactylosporangium sucinum,Actinomycetota,PET,,GGM69934,,,WP_229836555.1,UPI0019C2DED3,A0A917UAD8,UniRef100_A0A917UAD8,UniRef50_A0A365HAJ8;UniRef50_A0A1N6SMU6,UniRef90_A0A917UAD8,https://doi.org/10.1021/acscatal.5c03460,251
433,ESM093,1,194,Dactylosporangium siamense,Actinomycetota,PET,,GIG42977,,,WP_239135698.1,UPI001A58577F,A0A919PGK4,UniRef100_A0A919PGK4,UniRef50_A0A365HAJ8;UniRef50_A0A1N6SMU6,UniRef90_A0A919PGK4;UniRef90_A0ABV9WL17,https://doi.org/10.1021/acscatal.5c03460,251
434,ESM096,1,340,Pseudomonas subflava,Pseudomonadota,PET,,,,,WP_252275389.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,273
435,ESM097,1,341,Dactylosporangium matsuzakiense,Actinomycetota,PET,,GLL08040,,,WP_271190254.1,UPI0022F2EE77,A0A9W6KVP5,UniRef100_A0A9W6KVP5,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A9W6KVP5,https://doi.org/10.1021/acscatal.5c03460,400
436,ESM101,1,342,Micromonospora sp. RL09-050-HVF-A,Actinomycetota,PET,,MBW4703769.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,420
437,ESM121,1,343,Micromonospora sp. D93,Actinomycetota,PET,,,,,WP_247684544.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,337
438,ESM128,1,344,Verrucosispora sp. WMMA2121,Actinomycetota,PET,,,,,WP_269740835.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,256
439,ESM130,1,345,Micromonospora sp. MH99,Actinomycetota,PET,,MCF0091346.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,416
440,ESM136,1,346,Actinoplanes ianthinogenes,Actinomycetota,PET,,GGR16917.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,397
441,ESM139,1,347,Amycolatopsis sp. CA-128772,Actinomycetota,PET,,,,,WP_199199185.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,313
442,ESM140,1,348,Amycolatopsis sp. WQ 127309,Actinomycetota,PET,,,,,WP_247056560.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,260
443,ESM144,1,349,Catellatospora bangladeshensis,Actinomycetota,PET,,GIF82272;GIF82272.1,,,WP_239125827.1,UPI001A3D5444,A0A8J3NIL5,UniRef100_A0A8J3NIL5,UniRef50_A0A365HAJ8;UniRef50_A0A1N6SMU6,UniRef90_A0A8J3NIL5,https://doi.org/10.1021/acscatal.5c03460,251
444,ESM156,1,350,Paractinoplanes tereljensis,Actinomycetota,PET,,GIF24764;GIF24764.1,,,WP_203812622.1,UPI0019413648,A0A919NVN0,UniRef100_A0A919NVN0,UniRef50_A0A543NNU7,UniRef90_A0A919NVN0,https://doi.org/10.1021/acscatal.5c03460,262
445,ESM157,1,351,Micromonospora acroterricola,Actinomycetota,PET,,PWR09075.1;PWR09075,,,,UPI000D6E648C,A0A317D8W8,UniRef100_A0A317D8W8,UniRef50_A0A317D8W8;UniRef50_A0ABQ5R2R9,UniRef90_A0A317D8W8,https://doi.org/10.1021/acscatal.5c03460,275
446,ESM159,1,352,Rhizocola hellebori,Actinomycetota,PET,,GIH02301;GIH02301.1,,,WP_203906211.1,UPI0019442356,A0A8J3Q2S4,UniRef100_A0A8J3Q2S4,UniRef50_A0A7W7MJQ0;UniRef50_A0ABT4UC71,UniRef90_A0A8J3Q2S4,https://doi.org/10.1021/acscatal.5c03460,257
447,ESM160,1,353,Asanoa hainanensis,Actinomycetota,PET,,SNT65473,,,WP_144022925.1,UPI000B759976,A0A239PER3,UniRef100_A0A239PER3,UniRef50_A0A7W7MJQ0;UniRef50_A0ABT4UC71,UniRef90_A0A239PER3,https://doi.org/10.1021/acscatal.5c03460,256
448,ESM167,1,354,Amycolatopsis tolypomycina,Actinomycetota,PET,,SED45657;SED45657.1,,,WP_091317053.1,UPI0008970853,A0A1H5ATK4,UniRef100_A0A1H5ATK4,UniRef50_P0DX29;UniRef50_Q6A0I4,UniRef90_P0DX29,https://doi.org/10.1021/acscatal.5c03460,260
449,ESM169,1,188,Rhizobacter sp.,Pseudomonadota,PET,,MBT9528079.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,266
450,ESM173,1,355,Micromonospora sp. CP22,Actinomycetota,PET,,MTK05241.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,414
451,ESM177,1,356,Catellatospora methionotrophica,Actinomycetota,PET,,GIG17112;GIG17112.1,,,WP_239086781.1,UPI001A5846BE,A0A8J3LA20,UniRef100_A0A8J3LA20,UniRef50_A0A365HAJ8;UniRef50_A0A1N6SMU6,UniRef90_A0A8J3LA20,https://doi.org/10.1021/acscatal.5c03460,251
452,ESM186,1,357,Halopseudomonas yangmingensis,Pseudomonadota,PET,,SFM35944,,,WP_093473685.1,UPI0008EBBE9F,A0A1I4Q7B4,UniRef100_A0A1I4Q7B4,UniRef50_A0A2K9LJV9,UniRef90_A0A1I4Q7B4,https://doi.org/10.1021/acscatal.5c03460,277
453,TEP010,1,358,Verrucosispora sioxanthis,Actinomycetota,PET,,,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,409
454,TEP014,1,23,Thermobifida cellulosilytica,Actinomycetota,PET,,,MGYP001477358452,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,261
455,TEP024,1,359,Streptomyces sp. A012304,Actinomycetota,PET,,,,,WP_264933993.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,402
456,TEP037,1,15,,Actinomycetota,PET,,,MGYP000321434903,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,259
457,TEP041,1,360,Crossiella sp. SN42,Actinomycetota,PET,,,,,WP_256510026.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,266
458,TEP054,1,228,Dactylosporangium aurantiacum,Actinomycetota,PET,,,,,WP_260709492.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,421
459,TEP061,1,361,Microbispora rosea subsp. aerata,Actinomycetota,PET,,GGO06455.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,256
460,TEP067,1,362,Actinomadura sp. K4S16,Actinomycetota,PET,,,,,WP_149259982.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,279
461,TEP083,1,363,Micromonosporaceae bacterium,Actinomycetota,PET,,MBN1171866.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,291
462,TEP091,1,364,Cellulomonas iranensis,Actinomycetota,PET,,MBO9569276.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,255
463,TEP092,1,365,Plantactinospora endophytica,Actinomycetota,PET,,GIG90696.1;GIG90696,,,,UPI0019423CCD,A0ABQ4E7M7,UniRef100_A0ABQ4E7M7,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0ABQ4E7M7,https://doi.org/10.1021/acscatal.5c03460,414
464,TEP097,1,366,Streptomyces swartbergensis,Actinomycetota,PET,,OUD04649.1;OUD04649,,,WP_086599340.1,UPI000A3A2FF1,A0A243SAH7,UniRef100_A0A243SAH7,UniRef50_A0A243S155,UniRef90_A0A243SAH7,https://doi.org/10.1021/acscatal.5c03460,402
465,TEP101,1,187,Actinomadura atramentaria,Actinomycetota,PET,,,,,WP_019633337.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,272
466,TEP102,1,367,Streptomyces sp. V2,Actinomycetota,PET,,,,,WP_109361459.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,402
467,TEP103,1,368,Kutzneria sp. CA-103260,Actinomycetota,PET,,,,,WP_211769896.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,248
468,TEP105,1,369,Saccharopolyspora hirsuta,Actinomycetota,PET,,KAA5827152,,,WP_150070118.1,UPI001232CC47,A0A5M7BCA1,UniRef100_A0A5M7BCA1,UniRef50_A0A543NNU7,UniRef90_A0A5M7BCA1,https://doi.org/10.1021/acscatal.5c03460,261
469,TEP109,1,186,Kibdelosporangium banguiense,Actinomycetota,PET,,MBP2328848.1;MBP2328848,,,WP_307855560.1,UPI0027DDB14B,A0ABS4TWQ7,UniRef100_A0ABS4TWQ7,UniRef50_A0A7W7MJQ0;UniRef50_A0ABT4UC71,UniRef90_A0ABS4TWQ7,https://doi.org/10.1021/acscatal.5c03460,261
470,TEP111,1,237,Micromonospora carbonacea,Actinomycetota,PET,,,,,WP_260422593.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,411
471,TEP114,1,338,Actinoallomurus spadix,Actinomycetota,PET,,,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,377
472,TEP163,1,370,Streptomyces sp. TRM70350,Actinomycetota,PET,,,,,WP_218517662.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,392
473,TEP164,1,360,Crossiella sp. SN42,Actinomycetota,PET,,,,,WP_256510519.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,403
474,TEP165,1,371,Micromonospora sp. HM5-17,Actinomycetota,PET,,,,,WP_233604767.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,391
475,TEP168,1,372,Micromonospora lutea,Actinomycetota,PET,,,,,WP_239095870.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,414
476,TEP178,1,373,Hamadaea flava,Actinomycetota,PET,,MFC4135022,,,WP_253762837.1,UPI0020A3EA58,A0ABV8LVF2,UniRef100_A0ABV8LVF2,UniRef50_A0A1H5UML9,UniRef90_A0ABV8LVF2,https://doi.org/10.1021/acscatal.5c03460,257
477,TEP181,1,346,Actinoplanes ianthinogenes,Actinomycetota,PET,,,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,412
478,TEP189,1,308,Acidimicrobiales bacterium,Actinomycetota,PET,,GIU85371.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,242
479,TEP194,1,374,Sphaerisporangium fuscum,Actinomycetota,PET,,,,,WP_250563816.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,261
480,KaPETase,1,202,Kibdelosporangium aridum,Actinomycetota,PET,,SMD25264,,,WP_143447025.1,UPI0009D8AA50,A0A1W2FU08,UniRef100_A0A1W2FU08,UniRef50_A0A543NNU7;UniRef50_Q9L2J6,UniRef90_A0A428Z0U1;UniRef90_A0A1W2FU08,https://doi.org/10.1016/j.jclepro.2025.145624,286
481,Sis,1,,,,PET,,XDS72785.1,,,,,,,,,https://doi.org/10.3390/ijms25158120,282
483,DIEGO,1,377,uncultured bacterium,,PET,,YCL34723,,,,,,,,,10.1016/j.eti.2025.104587,293
484,TA21,1,378,Thermoleophilum album,Actinomycetota,PET|PLA,,WDT94064,,,,,,,,,10.1111/febs.70478,352
485,TA26,1,378,Thermoleophilum album,Actinomycetota,PET,,WDT94443,,,,,,,,,10.1111/febs.70478,321
486,TA29,1,378,Thermoleophilum album,Actinomycetota,PET|PLA,,WDT94189,,,,,,,,,10.1111/febs.70478,296
489,GuaPA,1,380,uncultured Candidatus Bathyarchaeia archaeon,Candidatus Bathyarchaeota,PET,,,,,,,,,,,10.1093/ismejo/wraf068,299
494,E4,1,381,Altericroceibacterium indicum,Pseudomonadota,PET,,,,6IQ9;7C2A;7C82,,UPI000F735175,A0A4P1LYH5,UniRef100_A0A4P1LYH5,UniRef50_A0A0G9MX80,UniRef90_A0A4P1LYH5,10.3390/biology15070540,191
495,PET93,1,382,Maribacter dokdonensis,Bacteroidota,PET,,WKW63607,,,,,,,,,10.1128/aem.01698-25,434
496,PET94,1,383,Arenibacter palladensis,Bacteroidota,PET,,WKW63608,,,,,,,,,10.1128/aem.01698-25,408
